,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Nov 07, 2018",6468.5,6552.16,6468.31,6530.14,4941260000,113395632955
1,"Nov 06, 2018",6433.38,6463.55,6408.16,6461.01,4700040000,112095603776
2,"Nov 05, 2018",6363.62,6480.59,6363.62,6419.66,4174800000,111456211022
3,"Nov 04, 2018",6365.47,6388.63,6294.57,6376.13,4390020000,110689215104
4,"Nov 03, 2018",6387.24,6400.07,6342.37,6361.26,3658640000,110421212888
5,"Nov 02, 2018",6378.92,6396.86,6327.38,6388.44,4234870000,110880236966
6,"Nov 01, 2018",6318.14,6547.14,6311.83,6377.78,3789400000,110683820788
7,"Oct 31, 2018",6336.99,6349.16,6316.88,6317.61,4191240000,109627117226
8,"Oct 30, 2018",6337.04,6364.99,6310.14,6334.27,3781100000,109903543419
9,"Oct 29, 2018",6492.35,6503.6,6306.99,6332.63,4199910000,109862898081
10,"Oct 28, 2018",6482.66,6502.28,6447.91,6486.39,3445190000,112518434372
11,"Oct 27, 2018",6480.84,6507.41,6453.53,6480.38,3393250000,112403001148
12,"Oct 26, 2018",6468.44,6498.29,6449.61,6474.75,3306050000,112294341019
13,"Oct 25, 2018",6484.65,6504.65,6447.03,6476.29,3230550000,112309554478
14,"Oct 24, 2018",6478.89,6521.99,6468.86,6495.84,3424670000,112637293966
15,"Oct 23, 2018",6472.36,6506.01,6451.27,6475.74,3716150000,112279779884
16,"Oct 22, 2018",6486.05,6543.8,6462.98,6487.16,3672860000,112465213723
17,"Oct 21, 2018",6490.09,6556.38,6476.0,6482.35,3253610000,112369106369
18,"Oct 20, 2018",6460.92,6497.72,6449.0,6489.19,3379130000,112476559221
19,"Oct 19, 2018",6478.07,6493.68,6445.31,6465.41,3578870000,112052990522
20,"Oct 18, 2018",6542.33,6567.54,6450.04,6476.71,3924080000,112237252159
21,"Oct 17, 2018",6590.52,6601.21,6517.45,6544.43,4088420000,113399343801
22,"Oct 16, 2018",6601.41,6673.59,6571.37,6596.11,4074800000,114283707152
23,"Oct 15, 2018",6292.64,6965.06,6258.68,6596.54,7370770000,114280022340
24,"Oct 14, 2018",6288.49,6363.21,6280.15,6290.93,3085320000,108972590373
25,"Oct 13, 2018",6278.08,6308.51,6259.81,6285.99,3064030000,108878136724
26,"Oct 12, 2018",6239.25,6328.5,6236.47,6274.58,3783500000,108669526315
27,"Oct 11, 2018",6586.74,6586.74,6243.74,6256.24,5181640000,108341572839
28,"Oct 10, 2018",6640.29,6640.29,6538.96,6585.53,3787650000,114030835912
29,"Oct 09, 2018",6653.08,6661.41,6606.94,6642.64,3580810000,115007759484
30,"Oct 08, 2018",6600.19,6675.06,6576.04,6652.23,3979460000,115162906843
31,"Oct 07, 2018",6590.68,6641.49,6557.04,6602.95,3306630000,114298880311
32,"Oct 06, 2018",6622.45,6628.54,6577.8,6588.31,3259740000,114033598927
33,"Oct 05, 2018",6574.15,6623.62,6557.41,6622.48,3671500000,114614764674
34,"Oct 04, 2018",6497.91,6603.31,6497.91,6576.69,3838410000,113811343543
35,"Oct 03, 2018",6553.86,6571.46,6454.03,6502.59,3887310000,112516993837
36,"Oct 02, 2018",6593.24,6611.84,6537.9,6556.1,3979260000,113431019760
37,"Oct 01, 2018",6619.85,6653.3,6549.08,6589.62,4000970000,113999846113
38,"Sep 30, 2018",6604.71,6643.78,6566.54,6625.56,4002280000,114608519470
39,"Sep 29, 2018",6643.1,6643.1,6511.65,6601.96,4363690000,114186839964
40,"Sep 28, 2018",6678.75,6785.03,6598.32,6644.13,5014430000,114903584220
41,"Sep 27, 2018",6495.29,6712.1,6464.95,6676.75,4606810000,115454861756
42,"Sep 26, 2018",6452.79,6585.91,6397.89,6495.0,4437300000,112300336125
43,"Sep 25, 2018",6603.64,6603.64,6381.86,6446.47,4726180000,111450035114
44,"Sep 24, 2018",6704.77,6713.56,6580.9,6595.41,4177310000,114011060309
45,"Sep 23, 2018",6715.32,6766.15,6679.42,6710.63,4197500000,115990387532
46,"Sep 22, 2018",6735.05,6814.56,6616.8,6721.98,4509660000,116173876360
47,"Sep 21, 2018",6513.87,6794.33,6496.36,6734.95,6531940000,116385068032
48,"Sep 20, 2018",6398.85,6529.26,6395.95,6519.67,4348110000,112653130183
49,"Sep 19, 2018",6371.85,6448.46,6208.34,6398.54,4431340000,110547735544
50,"Sep 18, 2018",6280.91,6384.18,6265.71,6371.3,4180090000,110064685348
51,"Sep 17, 2018",6514.06,6540.21,6257.52,6281.2,3910780000,108497127334
52,"Sep 16, 2018",6536.68,6544.33,6460.1,6517.18,3273730000,112562367224
53,"Sep 15, 2018",6509.4,6561.72,6493.55,6543.2,3216300000,113000324618
54,"Sep 14, 2018",6515.41,6596.1,6456.17,6512.71,4076220000,112462453186
